Question	Answer	enable_flag	fit_flag
開始時の文言	こんにちは。<br>質問があれば入力欄からどうぞ！	1	0
見つからないときの文言	ぴったりの回答が見当たりませんでした。<br>下記ではいかがでしょうか？	1	0
モニタが映らなくなった	モニタが映らなくなった場合は以下をお試しください。<br>①本体浦ケーブル2本差しなおし ②「検出」クリック ③アダプタさしなおし	1	1
パソコンの電源がはいらない	以下を拝めしください。<br>①アダプタ抜く ②電源ボタン5秒押し ③再度さして起動	1	1
パソコンのアカウントロック	30分待つか電話してください	1	1
起動して1回目の画面でロック	10分待って再度お試しください	1	1
起動して1回目の画面でロックがかかり再度試したがうまくいかない	電話してください	1	1
起動して1回目の画面でアカウントが作成できない	マニュアル見て再度アカウントから作ってください	1	1
画面にIDやパスワードを入力する画面が表示された	アカウントロックがかかっています。30分お待ちいただくが、電話してください。	1	1
顧客管理システムが起動しない	強制終了して、再度お試しください	1	1
顧客管理システムにログインできない	パソコンのアカウントロックがかかっています。30分お待ちいただくが、電話してください。	1	1
顧客管理システムににログインできない（総合メニュークリック後）	ロックはかからないので再度お試しいただき、それでもだめなら電話してください	1	1
顧客管理システムを開くと「システムが終了している」と表示された	電話してください	1	1
顧客管理システムの処理で「管理者へ連絡してください」と表示された	強制終了して、再度お試しください	1	1
顧客管理システムの処理が固まってしまった	強制終了して、再度お試しください	1	1
顧客管理システムにログインするIDとパスワードを知りたい	パソコンのIDとパスワード（パソコンを起動して2回目のIDとパスワード）	1	1
勤怠システムにロックがかかってしまった	電話してください	1	1
勤怠システムのパスワードをリセットしてほしい	電話してください	1	1
商品管理システムにログインできない	パスワードは●●です。再度おためしください	1	1
商品管理システムで「登録されていません」というメッセージが表示された	パスワードを5回間違うと表示されるメッセージです。1分以上待って再度ログインをお試しください	1	1
商品管理システムが表示できない	商品管理システムを一度とじ、再度商品管理システムを開いた後商品管理システムのショートカットをクリックしてください	1	1
チャットがない	スタート→すべてのプログラムにチャットがあると思います	1	1
チャット会議に入れない	チャットをきどうしなおし、会議予定の画面上部「会議参加ボタン」をクリックしてください	1	1
チャットでこちらの音が相手に聞こえない	仮想の場合は実機本体の音量、仮想ではない場合は本体音量を上げてお試しください	1	1
チャット会議の予約方法を知りたい	マニュアルをご参考ください	1	1
